ID,target
000137c73,2131101.80785228
00021489f,1710693.16102521
0004d7953,1943542.12458786
00056a333,2957619.76608788
00056d8eb,2015343.98651799
0005fc190,2358262.64803715
000787e86,1710693.16102521
0008510a0,2742891.58186411
000895faf,2015343.98651799
000986fba,2439663.12329938
0009efcc5,1959195.31190135
000dd8f00,6937482.55796046
000e1cdc2,1929740.6787985
00103739c,1649758.85577075
00134b367,2049530.44287066
001788d0d,2363010.61611797
0019c8ad7,2172202.55584757
001a267b9,1489111.00598647
001a85486,1887144.86200766
001c4de06,2287407.5377295
001f9014b,2460731.13053215
00216fb94,2460731.13053215
00235690e,2110562.18859607
00240739d,4781147.38821205
0024c3747,1610929.65101031
00297052d,2123175.38213218
002ab8f85,1710693.16102521
002bed5c0,1474170.53564451
002bf3974,2731221.88316309
002d23a26,1670041.11219196
002f27de9,1693883.47535854
0030d8bb4,2408341.13708254
003146acd,1604920.95548502
003223263,1712222.76713683
00335575e,2301262.77031084
00337cf9d,2783851.20028005
003394397,1464697.69661084
0036358a3,2118441.52565105
003770d30,2185087.20912984
003bed5ea,1710693.16102521
003ea6427,2156629.43254999
003ef8132,4183954.34669594
003fd1723,2003072.54198725
0041861b4,1251167.79793443
0042b718b,2061883.54965744
004381d8f,2408445.65522076
0043ca764,2031826.06929777
004486837,1250673.92689708
0045c123e,2585887.25071768
0048915c6,2460731.13053215
004ab9a09,2605422.10778798
004b2e1c9,2533306.41209609
004c54732,1695392.85618746
004cdefce,4183954.34669594
004dd971b,2957619.76608788
004f9329b,1986729.39180184
004fd2bca,1503833.28746955
0054bfedb,1772668.53339258
0054ec58a,391152.089424922
00551f45d,6019944.39855001
005777b4c,2003072.54198725
00578d6ea,2043519.36130349
005802488,1646972.65199088
0059833b6,2240147.76764126
005a70085,1852266.68052446
005b148a0,2517555.84249179
005c28df4,2561924.85749969
005f8dc26,2517555.84249179
00603c202,2736495.28922342
006049609,2430874.11759737
00612f47e,1044582.98251418
00647a57f,4183954.34669594
0065853ee,1587226.36312774
006589d5e,1290971.03541267
006598823,4762927.36426244
0065c093c,2368272.87151319
006738351,2173047.56905342
006a0c6a8,1718515.74543834
006e9efe6,2047939.23072084
006f029d3,1887144.86200766
0070f35a2,2432453.04534251
007135f85,4183954.34669594
007285433,6937482.55796046
00735e101,2173431.72157723
0074ecf4e,2031826.06929777
007635fa9,1729764.1753805
007723613,2634908.0200096
007867da9,1237396.57321352
0078bfbd6,822998.546503042
0078ce229,1173347.31531054
007a89d50,1998488.10016395
007d43dfa,2118441.52565105
007ee9e05,2078746.24664339
007ffeae2,2301096.09206184
00835c85c,2309207.72311378
0084b08f1,1693883.47535854
0087fb290,1128495.78659451
0088a96bd,1819028.8041864
008ac4292,2071398.11003279
008d8cca8,2126737.2900025
008e07b8c,2340663.00866898
008e5e25a,3190411.24839409
